x,y,z,r,g,b
2,10,6,232,182,44
2,10,7,232,182,44
3,10,0,220,170,47
3,10,1,220,170,47
3,10,2,220,170,47
3,10,3,220,170,47
3,10,4,220,170,47
3,10,5,220,170,47
3,10,6,220,170,47
3,10,7,220,170,47
4,10,0,174,134,42
4,10,1,174,134,42
4,10,2,174,134,42
4,10,3,174,134,42
4,10,4,174,134,42
4,10,5,174,134,42
4,10,6,174,134,42
4,10,7,174,134,42
2,9,0,221,142,23
2,9,1,221,142,23
2,9,2,221,142,23
2,9,3,221,142,23
2,9,4,221,142,23
2,9,5,221,142,23
2,9,6,221,142,23
2,9,7,221,142,23
3,9,0,235,157,17
3,9,1,235,157,17
3,9,2,235,157,17
3,9,3,235,157,17
3,9,4,235,157,17
3,9,5,235,157,17
3,9,6,235,157,17
3,9,7,235,157,17
4,9,0,131,75,21
4,9,1,131,75,21
4,9,2,131,75,21
4,9,3,131,75,21
4,9,4,131,75,21
4,9,5,131,75,21
4,9,6,131,75,21
4,9,7,131,75,21
1,8,0,247,139,30
1,8,1,247,139,30
1,8,2,247,139,30
1,8,3,247,139,30
1,8,4,247,139,30
1,8,5,247,139,30
1,8,6,247,139,30
1,8,7,247,139,30
2,8,0,247,139,30
2,8,1,247,139,30
2,8,2,247,139,30
2,8,3,247,139,30
2,8,4,247,139,30
2,8,5,247,139,30
2,8,6,247,139,30
2,8,7,247,139,30
3,8,0,247,139,30
3,8,1,247,139,30
3,8,2,247,139,30
3,8,3,247,139,30
3,8,4,247,139,30
3,8,5,247,139,30
3,8,6,247,139,30
3,8,7,247,139,30
4,8,0,247,139,30
4,8,1,247,139,30
4,8,2,247,139,30
4,8,3,247,139,30
4,8,4,247,139,30
4,8,5,247,139,30
4,8,6,247,139,30
4,8,7,247,139,30
1,7,0,245,156,29
1,7,1,245,156,29
1,7,2,245,156,29
1,7,3,245,156,29
1,7,4,245,156,29
1,7,5,245,156,29
1,7,6,245,156,29
1,7,7,245,156,29
2,7,0,245,132,22
2,7,1,245,132,22
2,7,2,245,132,22
2,7,3,245,132,22
2,7,4,245,132,22
2,7,5,245,132,22
2,7,6,245,132,22
2,7,7,245,132,22
3,7,0,245,132,22
3,7,1,245,132,22
3,7,2,245,132,22
3,7,3,245,132,22
3,7,4,245,132,22
3,7,5,245,132,22
3,7,6,245,132,22
3,7,7,245,132,22
4,7,0,246,142,24
4,7,1,246,142,24
4,7,2,246,142,24
4,7,3,246,142,24
4,7,4,246,142,24
4,7,5,246,142,24
4,7,6,246,142,24
4,7,7,246,142,24
5,7,0,166,130,25
5,7,1,166,130,25
5,7,2,166,130,25
5,7,3,166,130,25
5,7,4,166,130,25
5,7,5,166,130,25
5,7,6,166,130,25
5,7,7,166,130,25
1,6,0,169,97,11
1,6,1,169,97,11
1,6,2,169,97,11
1,6,3,169,97,11
1,6,4,169,97,11
1,6,5,169,97,11
1,6,6,169,97,11
1,6,7,169,97,11
2,6,0,241,117,8
2,6,1,241,117,8
2,6,2,241,117,8
2,6,3,241,117,8
2,6,4,241,117,8
2,6,5,241,117,8
2,6,6,241,117,8
2,6,7,241,117,8
3,6,0,241,117,8
3,6,1,241,117,8
3,6,2,241,117,8
3,6,3,241,117,8
3,6,4,241,117,8
3,6,5,241,117,8
3,6,6,241,117,8
3,6,7,241,117,8
4,6,0,196,95,7
4,6,1,196,95,7
4,6,2,196,95,7
4,6,3,196,95,7
4,6,4,196,95,7
4,6,5,196,95,7
4,6,6,196,95,7
4,6,7,196,95,7
5,6,0,191,151,30
5,6,1,191,151,30
5,6,2,191,151,30
5,6,3,191,151,30
5,6,4,191,151,30
5,6,5,191,151,30
5,6,6,191,151,30
5,6,7,191,151,30
0,5,0,193,147,20
0,5,1,193,147,20
0,5,2,193,147,20
0,5,3,193,147,20
0,5,4,193,147,20
0,5,5,193,147,20
0,5,6,193,147,20
0,5,7,193,147,20
1,5,0,79,62,46
1,5,1,79,62,46
1,5,2,79,62,46
1,5,3,79,62,46
1,5,4,79,62,46
1,5,5,79,62,46
1,5,6,79,62,46
1,5,7,79,62,46
2,5,0,152,120,93
2,5,1,152,120,93
2,5,2,152,120,93
2,5,3,152,120,93
2,5,4,152,120,93
2,5,5,152,120,93
2,5,6,152,120,93
2,5,7,152,120,93
3,5,0,152,120,93
3,5,1,152,120,93
3,5,2,152,120,93
3,5,3,152,120,93
3,5,4,152,120,93
3,5,5,152,120,93
3,5,6,152,120,93
3,5,7,152,120,93
4,5,0,118,91,69
4,5,1,118,91,69
4,5,2,118,91,69
4,5,3,118,91,69
4,5,4,118,91,69
4,5,5,118,91,69
4,5,6,118,91,69
4,5,7,118,91,69
5,5,0,224,171,24
5,5,1,224,171,24
5,5,2,224,171,24
5,5,3,224,171,24
5,5,4,224,171,24
5,5,5,224,171,24
5,5,6,224,171,24
5,5,7,224,171,24
1,4,0,66,65,62
1,4,1,66,65,62
1,4,2,66,65,62
1,4,3,66,65,62
1,4,4,66,65,62
1,4,5,66,65,62
1,4,6,66,65,62
1,4,7,66,65,62
2,4,0,122,122,122
2,4,1,122,122,122
2,4,2,122,122,122
2,4,3,122,122,122
2,4,4,122,122,122
2,4,5,122,122,122
2,4,6,122,122,122
2,4,7,122,122,122
3,4,0,94,94,94
3,4,1,94,94,94
3,4,2,94,94,94
3,4,3,94,94,94
3,4,4,94,94,94
3,4,5,94,94,94
3,4,6,94,94,94
3,4,7,94,94,94
4,4,0,93,93,93
4,4,1,93,93,93
4,4,2,93,93,93
4,4,3,93,93,93
4,4,4,93,93,93
4,4,5,93,93,93
4,4,6,93,93,93
4,4,7,93,93,93
2,3,0,98,98,98
2,3,1,98,98,98
2,3,2,98,98,98
2,3,3,98,98,98
2,3,4,98,98,98
2,3,5,98,98,98
2,3,6,98,98,98
2,3,7,98,98,98
3,3,0,67,67,67
3,3,1,67,67,67
3,3,2,67,67,67
3,3,3,67,67,67
3,3,4,67,67,67
3,3,5,67,67,67
3,3,6,67,67,67
3,3,7,67,67,67
4,3,0,93,93,93
4,3,1,93,93,93
4,3,2,93,93,93
4,3,3,93,93,93
4,3,4,93,93,93
4,3,5,93,93,93
4,3,6,93,93,93
4,3,7,93,93,93
2,2,0,84,84,84
2,2,1,84,84,84
2,2,2,84,84,84
2,2,3,84,84,84
2,2,4,84,84,84
2,2,5,84,84,84
2,2,6,84,84,84
2,2,7,84,84,84
4,2,0,93,93,93
4,2,1,93,93,93
4,2,2,93,93,93
4,2,3,93,93,93
4,2,4,93,93,93
4,2,5,93,93,93
4,2,6,93,93,93
4,2,7,93,93,93
4,1,0,93,93,93
4,1,1,93,93,93
4,1,2,93,93,93
4,1,3,93,93,93
4,1,4,93,93,93
4,1,5,93,93,93
4,1,6,93,93,93
4,1,7,93,93,93
1,0,0,34,33,33
1,0,1,34,33,33
1,0,2,34,33,33
1,0,3,34,33,33
1,0,4,34,33,33
1,0,5,34,33,33
1,0,6,34,33,33
1,0,7,34,33,33
4,0,0,46,46,46
4,0,1,46,46,46
4,0,2,46,46,46
4,0,3,46,46,46
4,0,4,46,46,46
4,0,5,46,46,46
4,0,6,46,46,46
4,0,7,46,46,46
